,Intent_prob
8,0.3041597608880407
9,0.3269981637997466
10,0.3514310607438299
11,0.5450575108071247
12,0.7414437152655866
13,0.7399378832180123
14,0.7494764005014283
15,0.725681857322121
16,0.7148875108199644
17,0.6955223531473224
18,0.7003484467931858
19,0.6861897384066782
20,0.6879379574609276
21,0.694579628366979
22,0.6807341877017101
23,0.6767817220480905
24,0.661601798898357
25,0.6717391658639739
26,0.6607067839655706
27,0.6594828901622272
28,0.6599913318861865
29,0.6235604403333086
30,0.6329381083573518
31,0.6148390760678489
32,0.6006013126594558
33,0.6142443151707004
34,0.6469177603219803
35,0.6844423900698074
36,0.7126758627382028
37,0.7368460815255597
38,0.7345406113952855
39,0.740956128035096
40,0.7332513439043555
41,0.7388278931286663
42,0.7362863435948221
43,0.7304513122132894
44,0.7257792834336712
45,0.7233836500099965
46,0.7152830445633376
47,0.7229786070146973
48,0.7003801096656928
49,0.697894441437345
50,0.6874803283608316
51,0.685618598242024
52,0.6931366616638952
53,0.6860025832889556
54,0.6836621314028988
55,0.6847852805102148
56,0.6903243239125137
57,0.6912782532535935
58,0.6969861249815625
59,0.7023332367695574
60,0.7058198448463415
61,0.7076499303634588
62,0.7162170872513633
63,0.7226620541248843
64,0.7366907765349731
65,0.7132454535572791
66,0.690683382726371
67,0.7122406878551835
68,0.7578963976703528
69,0.708072652440205
70,0.7240510411818742
71,0.7264448216450139
72,0.7067631474072084
73,0.7082608619832857
74,0.7109816026186798
75,0.702513101397028
76,0.7101350506446871
77,0.746738617987512
78,0.7375558063020367
79,0.7312719017268546
80,0.7239637845762626
81,0.7189215914950748
82,0.716898948155458
83,0.7197778641063665
84,0.7205025632748484
85,0.7144403777198579
86,0.7135711402730334
87,0.7127664004292689
88,0.7149153193680421
89,0.7138076157879168
90,0.719540898013989
91,0.7223383933875327
92,0.723762256948888
93,0.7302737726278078
94,0.7339170126329468
95,0.7327886832896959
96,0.7130064212673812
97,0.7446470681207971
98,0.7307102375778567
99,0.7037681322058543
100,0.7010204605050034
101,0.6867153389388974
102,0.6755310662695846
103,0.6848563964123559
104,0.7016999597956817
105,0.6997632407863507
106,0.6811081526038613
107,0.6440845656770309
108,0.6797078292638907
109,0.6851001985387232
110,0.6843388341476216
111,0.6821115393629984
112,0.6904580218003576
113,0.6920023022152135
114,0.6955704009012793
115,0.707131260620332
116,0.7121980898220481
117,0.7203802251998116
118,0.7210628727068362
119,0.721264015486976
120,0.7301208131714796
121,0.7375773782305088
122,0.6944042220605731
123,0.5816276377948477
124,0.5934010030627122
125,0.5944484192276851
126,0.5923971639882445
127,0.6051169982870384
128,0.599398371344644
129,0.6267255565910678
130,0.6355647204219169
131,0.7197513741427459
132,0.6384561132546658
133,0.6273093691325248
134,0.6036914380279728
135,0.5934470293716164
136,0.6025198104281265
137,0.6097488463655528
138,0.6086714022188187
139,0.6304390839795414
140,0.5042497756216208
141,0.49667620651610644
142,0.5979908212182092
143,0.6733352058912645
144,0.6737040667595836
145,0.6568676020716632
146,0.6651666315777187
147,0.657268446526551
148,0.6838937573230316
149,0.6538442873929345
150,0.6744680168132821
151,0.6569729301037629
152,0.6365087519805873
153,0.6218435469933989
154,0.6150488606142945
155,0.6411792528357583
156,0.6833165520914222
157,0.7205283220149276
158,0.6869943126852235
159,0.6835614992613416
160,0.682489026655227
161,0.6714544999600908
162,0.6776113303429582
163,0.6655213537453656
164,0.6607236754849624
165,0.6592158335434302
166,0.6623506917448768
167,0.6750445031075893
168,0.6794429960849042
169,0.6670323372171975
170,0.6745532524220293
171,0.6619726172388427
172,0.6793207534088724
173,0.6966668714272853
174,0.684391184028171
175,0.7218842437097643
176,0.7320135314739207
177,0.7176297676648482
178,0.7117929544399005
179,0.6922302582773786
180,0.6808667328478932
181,0.6734201242629926
182,0.6788084880676206
183,0.6797661559124819
184,0.6812364414977368
185,0.6721451427704537
186,0.6797517645057763
187,0.6814564157586429
188,0.6941755340788408
189,0.7133701577011822
190,0.7265998807034145
191,0.7212900668319614
192,0.714605332545502
193,0.7233500690249525
194,0.718037033993948
195,0.7128414252370736
196,0.7130476758587918
197,0.7155185838897191
198,0.7029360786220464
199,0.6907085995003979
200,0.6931625875707498
201,0.6897818459232384
202,0.6874921663534465
203,0.6885842179207434
204,0.7030356855398885
205,0.7045527782732911
206,0.6890271200560856
207,0.6836209027072633
208,0.6840395759059903
209,0.6892779212552045
210,0.6807426618408742
211,0.6910965764987911
212,0.5110185060347321
213,0.4567562840082034
214,0.5554512147444027
215,0.6160011949143015
216,0.5883756080205687
217,0.6141166349660108
218,0.6030586321663141
219,0.5965181877791047
220,0.5914571576753104
221,0.4316391420988718
222,0.42839265793889814
223,0.39977751997003896
224,0.556710455548285
225,0.5535603666002139
226,0.5403927142388474
227,0.5342070491486166
228,0.5310690395451918
229,0.5271959716772527
230,0.53462824661115
231,0.5373876358184903
232,0.5255388876228557
233,0.5577167496029125
234,0.5440120330040319
235,0.5383275148667251
236,0.5334333224573213
237,0.5297818988038216
238,0.532999363396843
239,0.538634722094536
240,0.5395468552889966
241,0.3589364265694709
242,0.3618731442343258
243,0.3041597608880407
244,0.3269981637997466
245,0.3514310607438299
246,0.5450575108071247
247,0.7414437152655866
248,0.7399378832180123
249,0.7494764005014283
250,0.725681857322121
251,0.7148875108199644
252,0.6955223531473224
253,0.7003484467931858
254,0.6861897384066782
255,0.6879379574609276
256,0.694579628366979
257,0.6807341877017101
258,0.6767817220480905
259,0.661601798898357
260,0.6717391658639739
261,0.6607067839655706
262,0.6594828901622272
263,0.6599913318861865
264,0.6235604403333086
265,0.6329381083573518
266,0.6148390760678489
267,0.6006013126594558
268,0.6142443151707004
269,0.6469177603219803
270,0.6844423900698074
271,0.7126758627382028
272,0.7368460815255597
273,0.7345406113952855
274,0.740956128035096
