,x_angle,y_angle,z_angle,classification
236,1.8812096048968279,1.4302529325263968,0.33482575741008425,1
237,1.8932994910250387,1.4136781037396369,0.35439763758366516,1
238,1.903038487497994,1.405856291381647,0.3675074045898668,1
239,1.906252861153062,1.4019271874288648,0.3738711628155916,1
240,1.9029414668378475,1.412827865875398,0.3631216502530902,1
241,1.8929875956100868,1.4266075945505148,0.3434521039894914,1
242,1.8657057370536845,1.422604324100847,0.33285993413853493,1
243,1.8124613660230442,1.4564418202846325,0.2785971459630816,1
244,1.8296536085291653,1.4520268356093835,0.29261446302837535,1
245,1.802450234099395,1.462276932497645,0.26752166527005716,1
246,1.7874465574188372,1.463656600760298,0.2634051929412563,1
247,1.744805907800956,1.456939029746757,0.251255287956091,1
248,1.719532360540438,1.4717861490086048,0.23479483555157127,1
249,1.716047941434407,1.454466650609989,0.23952065955748053,1
250,1.6990255506896055,1.4860093426093581,0.21743787703796488,1
251,1.6885045210127607,1.51101496994838,0.19119350081949116,1
252,1.6672629491151683,1.4777172918851167,0.2125733622092731,1
253,1.661199316205685,1.5069250841791266,0.19561363560669756,1
254,1.660567150209895,1.5581174542669363,0.15006498735879434,1
255,1.6582942595454573,1.5663750852033609,0.14303459471501231,1
256,1.6487826803016823,1.6040326682745312,0.10951634438150253,1
257,1.61573199812817,1.575725288367117,0.1315589255795595,1
258,1.6166302161006376,1.5576887867319262,0.13772899579598677,1
259,1.6000520752335,1.5620063484164213,0.14093624547628522,1
260,1.623519041292663,1.5820255067561535,0.13310549020930998,1
261,1.6212661708779506,1.5815679060513248,0.13450044378131742,1
262,1.6049135047102725,1.5527178729624922,0.15868786126311196,1
263,1.6180872726125748,1.5469937634288438,0.17108801186695471,1
264,1.6226249640943466,1.528204789764219,0.1801006824812266,1
265,1.6090896617706167,1.4967209445607565,0.21972278841403783,1
266,1.6202290566550241,1.5016825370012639,0.22480234847324296,1
267,1.6010012016392767,1.4769728271759106,0.24044614279073123,1
268,1.5855750668648092,1.468511368565246,0.2631528200658498,1
269,1.612175766566143,1.4552754187526369,0.28132458276131633,1
270,1.6095011934020098,1.4448334143405552,0.29049220757110567,1
271,1.5939220647799572,1.4322939758173765,0.30145675539909716,1
272,1.6249280012600547,1.4476469231111126,0.2826488945302205,1
273,1.657201954105667,1.4098893835118285,0.31575847765918014,1
274,1.6327480325171726,1.4011354139663477,0.32311410829268294,1
275,1.6592637075873302,1.3945997777094243,0.31769524107827085,1
276,1.6914271094551312,1.3688478525330148,0.3355878141486505,1
277,1.6872439237331325,1.3859737774438392,0.3158379354293547,1
278,1.7031437846917106,1.3777349259715825,0.3272069701225977,1
279,1.7116515343907122,1.3536486998520314,0.3506222877294462,1
280,1.717837567445585,1.3360401648300826,0.3608181153893126,0
281,1.7134599115009905,1.3666752193456526,0.3290279978354911,0
282,1.7015098009949114,1.3966843830423832,0.3043243351962589,0
283,1.7032623595693546,1.4086093763510048,0.29726513936355586,0
284,1.700346279389193,1.382883541934544,0.30948748894104305,0
285,1.6977068452450372,1.4042093875584705,0.3035020628642871,0
286,1.6803768691287124,1.4280867217567639,0.2848759535278706,0
287,1.7001140593855628,1.4250015928538349,0.2766293620522009,0
288,1.7085247383192708,1.4494914954270572,0.25743928681606976,0
289,1.684798069643166,1.4105654841384372,0.2823724816210234,0
290,1.688295430402732,1.3902968474233797,0.3034911467383032,0
291,1.6824373414310634,1.3963220182263971,0.2963337460698114,0
292,1.7025067323313905,1.428313360917657,0.2711185773120482,0
293,1.6765292775243896,1.426863761127703,0.26913134759513124,0
294,1.701408279233061,1.4361769599018537,0.27016450702608347,0
295,1.6898168907393747,1.4260981391511927,0.2703773486604275,0
296,1.6732759730386821,1.441400111294206,0.25447429542195565,0
297,1.6990799574241768,1.4641104174295112,0.24564014487376332,0
298,1.6975597289182074,1.4533734738767687,0.2542796233606712,0
299,1.697351505251876,1.4326119414721208,0.26867910501812553,0
300,1.6965507421277477,1.4246848891889938,0.27966237489616513,0
301,1.682284314341047,1.4003907610375035,0.29018441398604733,0
302,1.7131906637893948,1.4362929556347406,0.28277727580978806,0
303,1.7840228071460804,1.4452205934363898,0.27877363670825706,0
304,1.8099595371029937,1.4202148768986345,0.3015193646323528,0
305,1.9204908873263544,1.432792270017805,0.3522032305244181,0
306,1.9658098977912453,1.4464875526540462,0.37091613025089515,0
307,2.0365094254101783,1.481695547652802,0.4009420697603354,0
308,2.121972741877142,1.5453473773786655,0.42916130119682566,0
309,2.229727217429887,1.600648367141391,0.48858323645638574,0
310,2.2677085165111395,1.5902292512105822,0.5400639221283451,0
311,2.329553790694161,1.6072274655056678,0.5895283037129126,0
312,2.351071466114915,1.5920969837422247,0.6263473210788024,0
313,2.3985544936319623,1.6093378250258856,0.6637466333614305,0
314,2.381179578771427,1.5930780934529496,0.6586168081246406,0
315,2.362962837269241,1.586868435997607,0.6478563790932739,0
316,2.3720926676460685,1.6031196566853774,0.6476866685913386,0
317,2.352619089082037,1.5804607590836695,0.647086671057587,0
318,2.356088262773274,1.5951721572526372,0.6412161005291042,0
319,2.4125233685636904,1.60133838058096,0.6928099059386096,0
320,2.41137830350186,1.5878548021588288,0.7006894695149454,0
321,2.4083410510007686,1.5807829679035017,0.7079742940644561,0
322,2.3951583648174313,1.5680356351468498,0.694004201825889,0
323,2.408063400586227,1.5696931046280778,0.7053539701496969,0
324,2.4125053755901384,1.5686517686680814,0.7074418631791937,0
325,2.37450685080332,1.5538304321874572,0.6820438189686285,0
326,2.3815387008414213,1.5599560865860584,0.6864201389078617,0
327,2.3560444442876247,1.5549593992031765,0.6691352068569514,0
328,2.3956117266973407,1.569299560672526,0.7018767595955742,0
329,2.381824253455622,1.575859384526158,0.6825941803124508,0
330,2.3957552383324536,1.5700975824747725,0.6995118932005003,0
331,2.3698173584663422,1.5690024277052594,0.6779747315098595,0
332,2.425764966630941,1.59613114551877,0.7056862234990943,0
333,2.3809515316950685,1.5516993959373717,0.6885800415468004,0
334,2.389525047299466,1.5702248750028396,0.6871914466829907,0
335,2.3587986537214722,1.5504254453556379,0.6713596548907238,0
336,2.4036474905060343,1.5689356386404756,0.6987481116802059,0
337,2.4248567548637125,1.5721697793260596,0.7142079189872628,0
338,2.396544412478146,1.5462857957021217,0.7117878827501257,0
339,2.3877464342400687,1.5565259679618613,0.6934427265756161,0
