people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,target
-1,533.536,88.5811,0.894298,607.016,163.52,0.396736,548.317,195.837,0.285554,0,0,0,0,0,0,667.263,134.157,0.457861,718.644,323.613,0.40403,0,0,0,573.254,507.167,0.060052,521.843,499.827,0.0509952,0,0,0,0,0,0,617.331,536.543,0.0531656,0,0,0,0,0,0,520.374,76.8471,0.872385,557.032,63.6693,0.90748,0,0,0,615.869,65.1045,0.882981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,533.602,87.1823,0.909239,607.017,162.044,0.422991,549.746,194.36,0.307513,0,0,0,0,0,0,665.778,132.69,0.480197,718.634,322.121,0.405354,0,0,0,573.265,524.789,0.0663509,524.808,521.845,0.0539091,0,0,0,0,0,0,620.254,536.546,0.0520714,0,0,0,0,0,0,520.396,76.861,0.873133,557.052,63.6284,0.902037,0,0,0,615.889,65.0733,0.881294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,533.62,87.211,0.920233,609.974,160.575,0.425543,555.608,189.956,0.314056,0,0,0,0,0,0,667.241,134.103,0.472602,718.628,323.581,0.426293,0,0,0,571.79,515.979,0.0661024,524.793,498.36,0.0548014,0,0,0,0,0,0,618.792,526.261,0.0659433,0,0,0,0,0,0,521.796,76.9359,0.888118,557.023,63.6165,0.886485,0,0,0,615.898,65.072,0.877565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,535.013,87.1549,0.92232,608.518,160.598,0.422247,552.715,192.897,0.313204,0,0,0,0,0,0,668.702,131.215,0.468671,720.137,322.099,0.42962,0,0,0,582.06,511.565,0.0825814,532.135,495.418,0.0719376,0,0,0,0,0,0,630.545,523.326,0.082891,0,0,0,0,0,0,521.791,76.8172,0.89285,557.055,63.6054,0.887538,0,0,0,617.272,65.0717,0.871005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,533.646,87.1766,0.923855,608.491,162.045,0.422116,549.765,192.888,0.330103,0,0,0,0,0,0,668.722,132.683,0.458153,724.508,322.098,0.393337,664.38,536.569,0.0663326,589.393,489.551,0.0767185,0,0,0,0,0,0,0,0,0,640.831,491.026,0.0731718,0,0,0,0,0,0,521.801,75.4664,0.888485,557.03,63.6254,0.885236,0,0,0,617.281,65.0904,0.878602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,535.01,87.1688,0.923627,608.515,167.921,0.410891,551.212,197.29,0.335613,535.072,336.816,0.0638582,0,0,0,668.71,137.099,0.41651,724.56,322.151,0.419055,0,0,0,586.481,536.551,0.0635,542.418,536.544,0.074285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.808,76.86,0.899104,557.058,63.6317,0.898711,0,0,0,617.3,65.0883,0.88512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,533.656,87.2007,0.930145,609.981,164.999,0.406814,551.235,194.37,0.319971,0,0,0,0,0,0,668.717,135.643,0.423317,724.561,319.189,0.414851,0,0,0,593.798,499.819,0.0790972,542.429,514.51,0.0848798,0,0,0,0,0,0,640.802,536.542,0.0626823,0,0,0,0,0,0,521.829,76.9062,0.895416,557.104,63.6574,0.913758,0,0,0,617.295,65.132,0.883312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,535.04,88.5636,0.932259,607.049,164.97,0.426878,549.752,197.289,0.333999,0,0,0,0,0,0,668.727,132.655,0.463522,724.52,320.64,0.434191,661.372,536.552,0.0714971,592.358,491.023,0.0874261,536.526,505.699,0.0951096,0,0,0,0,0,0,643.76,498.355,0.0750028,0,0,0,0,0,0,521.872,78.3524,0.872013,557.124,63.7022,0.921352,0,0,0,617.315,65.177,0.873431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,535.04,88.639,0.923255,609.959,167.916,0.413704,552.696,197.307,0.319461,0,0,0,0,0,0,671.635,135.609,0.434228,724.539,316.247,0.383323,661.35,536.556,0.0505886,582.075,518.916,0.0658215,533.593,507.162,0.0724034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.904,78.3773,0.878172,557.125,65.1083,0.929752,0,0,0,617.297,66.5659,0.858763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,535.069,88.7003,0.892112,605.566,169.407,0.442508,546.817,204.615,0.35458,0,0,0,0,0,0,671.649,134.161,0.472382,725.979,316.258,0.38835,664.288,521.827,0.08654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.289,79.8241,0.866418,557.131,65.1733,0.920881,0,0,0,617.304,66.6447,0.846912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
