people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,target
-1,464.658,137.104,0.86859,523.376,213.434,0.542819,495.434,226.675,0.396711,458.72,408.779,0.0618022,441.073,493.956,0.347309,557.07,197.303,0.556072,565.922,357.355,0.397374,483.665,501.32,0.572202,498.35,496.888,0.133002,464.565,495.424,0.110654,0,0,0,0,0,0,535.082,498.356,0.152524,0,0,0,0,0,0,454.326,125.342,0.874973,485.103,120.875,0.858582,0,0,0,527.716,128.281,0.805379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.616,137.128,0.8787,521.901,214.889,0.590576,492.49,229.589,0.422779,474.837,369.135,0.0932045,441.133,495.432,0.396057,555.638,194.394,0.581576,562.996,352.974,0.395416,483.681,499.799,0.613308,504.22,489.54,0.136447,466.052,488.085,0.113491,0,0,0,0,0,0,542.402,489.541,0.162996,0,0,0,0,0,0,454.298,125.35,0.883926,483.669,120.895,0.852105,0,0,0,526.281,128.279,0.797137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.585,137.123,0.883256,521.89,214.936,0.601741,492.503,231.083,0.431276,474.859,366.195,0.102219,439.637,492.471,0.33593,555.623,194.352,0.585693,564.433,357.372,0.39678,476.366,499.779,0.682476,505.705,508.644,0.102026,482.203,510.079,0.0726255,0,0,0,0,0,0,532.142,510.115,0.138425,0,0,0,0,0,0,454.271,125.314,0.8962,482.229,120.907,0.847137,0,0,0,526.245,126.811,0.810197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.538,135.589,0.931881,521.894,210.506,0.593138,491.031,228.101,0.434519,463.111,392.625,0.148183,436.694,495.406,0.529854,555.642,192.92,0.581349,562.99,348.557,0.455406,477.803,496.906,0.636307,507.179,476.326,0.15719,473.394,476.327,0.127733,0,0,0,0,0,0,536.535,477.79,0.203445,0,0,0,0,0,0,452.884,123.815,0.924344,482.205,119.429,0.827845,0,0,0,527.722,125.306,0.842671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.623,135.562,0.926847,523.324,210.522,0.586856,493.97,228.118,0.425038,476.309,361.768,0.0540528,441.045,488.087,0.28403,557.074,192.933,0.593485,568.819,355.902,0.417379,477.818,496.901,0.640436,518.913,485.135,0.106878,477.805,477.813,0.085577,0,0,0,0,0,0,543.874,482.198,0.147075,0,0,0,0,0,0,454.31,123.81,0.909662,483.664,117.959,0.825928,0,0,0,530.633,123.897,0.864628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,466.032,135.614,0.905455,526.272,214.895,0.558174,498.357,229.583,0.418466,473.408,401.437,0.113911,439.567,495.423,0.355141,558.558,195.821,0.575047,568.805,366.167,0.44656,477.818,496.885,0.634522,508.644,501.311,0.119401,476.347,499.817,0.100248,0,0,0,0,0,0,540.942,505.699,0.122417,0,0,0,0,0,0,455.75,123.885,0.883225,485.132,117.965,0.8473,0,0,0,532.142,123.943,0.879167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,466.026,135.601,0.912882,526.275,214.919,0.540754,498.312,229.617,0.409651,477.8,360.322,0.0691312,0,0,0,558.611,195.827,0.550514,561.526,376.466,0.472463,476.365,493.955,0.601343,513.048,493.959,0.147043,480.734,488.07,0.124083,0,0,0,0,0,0,543.875,495.422,0.166972,0,0,0,0,0,0,455.771,123.9,0.874381,485.151,117.999,0.85208,0,0,0,532.13,125.365,0.857135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.664,134.199,0.918972,524.84,213.43,0.556168,496.89,229.574,0.424205,0,0,0,0,0,0,558.602,194.318,0.583791,565.933,370.584,0.476589,479.26,488.138,0.645075,521.875,496.898,0.157418,498.346,493.95,0.131698,0,0,0,0,0,0,546.807,501.299,0.161494,0,0,0,0,0,0,455.758,123.852,0.888194,485.157,115.079,0.854472,0,0,0,532.113,123.936,0.867123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.639,134.155,0.922381,527.743,209.063,0.554496,498.368,228.104,0.421216,0,0,0,0,0,0,560.052,192.854,0.563419,561.536,380.844,0.492839,477.833,488.058,0.637356,514.509,480.733,0.142632,482.204,476.307,0.126,0,0,0,0,0,0,543.878,486.595,0.163494,0,0,0,0,0,0,454.327,123.816,0.906425,485.123,113.645,0.854282,0,0,0,530.667,123.928,0.861871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,464.522,134.158,0.935012,529.176,209.029,0.52306,499.802,226.66,0.385217,479.274,380.859,0.118073,446.98,488.086,0.215401,558.542,192.917,0.55665,567.384,367.634,0.489072,476.348,489.545,0.633348,514.532,493.946,0.159315,483.671,495.41,0.125132,0,0,0,0,0,0,549.755,493.951,0.16814,0,0,0,0,0,0,452.836,123.796,0.935773,483.634,115.04,0.829808,0,0,0,527.747,123.89,0.862661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,461.652,135.675,0.883326,524.781,213.453,0.556778,498.328,228.161,0.399529,473.406,404.357,0.0693789,0,0,0,557.067,194.356,0.575436,562.978,370.585,0.440444,474.833,489.593,0.625294,526.27,496.88,0.161908,499.828,496.898,0.142814,0,0,0,0,0,0,554.163,496.886,0.175323,0,0,0,0,0,0,451.396,123.936,0.924253,477.79,119.476,0.863278,0,0,0,523.364,126.794,0.853109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
