,Distances,x,y
957,0.025501582872989148,-0.005914116239405351,0.024806328993519686
958,0.02793778966817094,-0.007418220556962463,0.026934923339620227
959,0.027952430511899176,-0.010096792097566155,0.026065171414381253
960,0.025369215356904524,-0.008832676049420372,0.023781945286939755
961,0.03553777471601125,-0.006654163088032341,0.034909247275812696
962,0.04867388474337639,-0.004072826841129705,0.04850318688017997
963,0.10253467851069471,-0.004130441329257398,0.10245145070577127
964,0.09084739831655028,-0.010346678698308067,0.09025627967515569
965,0.09556722089350535,-0.006409003518968023,0.09535207592497344
966,0.0998902382272225,-0.0049393918742513246,0.0997680414812471
967,0.10224454212067052,-0.007976647286409998,0.10193291662428666
968,0.059576950330452225,-0.003263690678035294,0.0594874888849351
969,0.054158960521574505,-0.006081225094914983,0.053816463151367
970,0.057677245492383185,-0.0073658401526515375,0.05720497396585565
971,0.06410273794951375,-0.009867176988152471,0.06333877036151321
972,0.061116147025838355,-0.008463356586745057,0.06052730807304658
973,0.06715131207524425,-0.009332497212739186,0.06649964818855103
974,0.06703601107160849,-0.013377564498230835,0.06568765141553236
975,0.0656864226030314,-0.011119267949411617,0.06473845838953242
976,0.06344179790085425,-0.012391008827913042,0.062219969632903355
977,0.07827302594640179,-0.011935169229358503,0.07735772958323338
978,0.08139808224548119,-0.012834615565925071,0.08037985093614589
979,0.08118931783353307,-0.01313088419462966,0.08012044190181228
980,0.0796052532720767,-0.015515382596411807,0.07807860943560944
981,0.07892083243138721,-0.013037554717939114,0.07783649503054363
982,0.059960453594561064,-0.011984482425864555,0.058750558944146686
983,0.0644973242539758,-0.013640119805698962,0.06303849591803942
984,0.084933786018305,-0.022385082739823065,0.08193080054615905
985,0.09037760509621154,-0.02053429671391493,0.08801394299423054
986,0.09404219238731118,-0.021065770427282582,0.0916524264016893
987,0.10106430409610197,-0.022726037023348626,0.0984759910010697
988,0.10895721756892572,-0.024853524671374375,0.10608476597406245
989,0.10621227442978892,-0.025014384838595263,0.10322464720547825
990,0.17962476552495643,-0.013560319864919462,0.1791121830447517
991,0.23311297300654316,-0.006701284440925981,0.2330166323908899
992,0.23704850266560865,-0.01021118952159887,0.2368284700464897
993,0.2270859964896527,-0.009346818540396642,0.2268935582709907
994,0.21478272777582263,-0.008035803804329613,0.2146323507955906
995,0.2319894250461162,-0.015061479600377507,0.23149998955826107
996,0.24113866131701756,-0.009194752941881688,0.240963296997906
997,0.26876243909424324,-0.006220368474594076,0.2686904458367046
998,0.27380328028825524,-0.006572531835663418,0.273724383498946
999,0.2688348534494294,-0.0010434687824655876,0.26883282835635275
1000,0.2715813095978652,-0.0009453128749393944,0.27157966438314185
1001,0.2513036718906276,-0.006779927486389125,0.25121219733323363
1002,0.25305785608829445,0.0020877038678052207,0.25304924426001413
1003,0.2586184674196142,0.0016252103072148026,0.25861336079546887
1004,0.258855586502134,-0.0008392635624451561,0.25885422596518787
1005,0.27084708088639275,0.00439450997581682,0.2708114279471098
1006,0.28628473739955324,0.0029008931470189893,0.28627003979962823
1007,0.31424143750722566,0.016382365948425803,0.3138141155724826
1008,0.3305710967738109,0.018497369814579626,0.33005317349206464
1009,0.4217011485836414,0.022117978042423186,0.42112071163037956
1010,0.4568054123078378,0.023959402966388682,0.4561766453066486
1011,0.47644130149346214,0.011336684149810355,0.4763064070126199
1012,0.4841789422446403,0.004668987032435197,0.48415642996167024
1013,0.5059663432093372,-0.010746516090116079,0.505852204554407
1014,0.5177315189860637,-0.021873248930066164,0.5172692594122139
1015,0.48387260194898657,-0.02668214691865532,0.48313637614310695
1016,0.456283184078954,-0.03129867798367326,0.455208454259917
1017,0.44994232000895795,-0.022108746453803695,0.4493988147128172
1018,0.4504985799819201,-0.0036894716473807334,0.4504834717996762
1019,0.4449482712963025,0.0053475743244237655,0.44491613544398767
1020,0.4553518175927737,0.029989636200872555,0.45436318018252975
1021,0.45942796147219256,0.040034189808151995,0.45768036382272215
1022,0.44455429798074286,0.031467721020094215,0.44343918003143634
1023,0.4266784302694841,0.026233490299565586,0.42587120922167726
1024,0.425792343310983,0.00496030304239874,0.4257634496008148
1025,0.428944967472733,-0.014132964757520836,0.42871207637218084
1026,0.4323344387268059,-0.014505072152512944,0.43209104340529053
1027,0.41416941338123875,-0.01843637069880037,0.4137588708608141
1028,0.4043232317263019,-0.01511294033646088,0.40404068452073905
1029,0.40774271712207816,-0.015696172661104752,0.4074404907834859
1030,0.39875891451804524,-0.004485631721646785,0.3987336843253495
1031,0.40667039839214,0.005445877310949777,0.40663393285452204
1032,0.41612438273211033,0.021316859674016902,0.41557802323729554
1033,0.3979772574068665,0.019598580468047397,0.397494393742514
1034,0.3757577689945036,0.01772666427896395,0.3753394015198346
1035,0.3649728673205004,0.018052454003201913,0.364526134570088
1036,0.3497574268781278,0.008533926175548066,0.34965329937016065
1037,0.3447720590236967,-0.01583483705420607,0.34440823250745056
1038,0.3377294281201068,-0.03298296057670405,0.33611499658588573
1039,0.33601366559479207,-0.040408496361932805,0.33357508433367206
1040,0.33475201760107925,-0.058746322393975134,0.3295569493929333
1041,0.3165823353741509,-0.06764711870986516,0.3092705003733864
1042,0.28817667182775397,-0.06753374027602238,0.28015172337512356
1043,0.26937285245125075,-0.06776046012883515,0.26071105400587036
1044,0.26347210224263046,-0.06547229851537507,0.25520761506519496
1045,0.246844393572565,-0.05711862006767528,0.2401449934513979
1046,0.22456434013004858,-0.05219963401398523,0.21841323464215748
1047,0.2258832522266528,-0.045278282208017336,0.22129871395193598
1048,0.23582772519212689,-0.04909491352664296,0.23066080168746653
1049,0.22302422709791295,-0.04651738012341692,0.21811909411849983
1050,0.21354061581631922,-0.04761895405866792,0.20816346897948093
1051,0.18894164039150724,-0.044990185911515275,0.1835070206980674
1052,0.17793161817703113,-0.04434085177214457,0.17231816390391785
1053,0.18085720082619444,-0.04600078261000496,0.1749092767406963
1054,0.18193110729832482,-0.04736772208448866,0.17565655896470597
1055,0.1730437932993153,-0.04273356860289458,0.16768421665105473
1056,0.17040538406478972,-0.04357303523811649,0.16474035789206706
1057,0.18476960379809224,-0.042295274207190287,0.17986360462150913
1058,0.18766577634686943,-0.04279934518515129,0.18272016764329954
1059,0.17769865182145303,-0.03867627103149338,0.1734386257967367
1060,0.1772294364144781,-0.037737698042526434,0.1731650636769572
1061,0.17389350109051044,-0.03542580318210332,0.17024676851681572
